naziv,nivo,tip,lat,lon,mesto,adresa,sajt,telefon,eposta,ednevnik,eucenje
Основна школа „Мирослав Антић — Мика“,o,d,44.861222,20.668914,Панчево,Душана Петровића Шанета 11,https://www.osmantic.edu.rs/,+381 13 316 449,osantic@panet.rs,,
Основна школа „Исидора Секулић“,o,d,44.875782,20.660240,Панчево,Сердара Јанка Вукотића 7,https://www.isidorasekulic.edu.rs/,+381 13 231 59 65,,,
Основна школа „Јован Јовановић Змај“,o,d,44.872086,20.642632,Панчево,Змај Јове Јовановића 3,http://www.zmajpancevo.edu.rs/,+381 13 346 023,osjjzmajpa@mts.rs,,
Основна школа „Бранко Радичевић“,o,d,44.864315,20.649333,Панчево,Владимира Жестића 21,http://osbradicevicpancevo.edu.rs/,,os.bradicevic@mts.rs,,
Основна школа „Васа Живковић“,o,d,44.877495,20.635417,Панчево,Карађорђева 87,,,,,
Основна школа „Борисав Петров Браца“,o,d,44.853066,20.660090,Панчево,Жарка Зрењанина 179,http://osborisavpetrovbraca.edu.rs/,+381 13 236 70 07,osbraca@mts.rs,,
Основна школа „Братство-јединство“,o,d,44.853902,20.668495,Панчево,Шандора Петефија 33-35,http://osbratstvo.edu.rs/,+381 13 348 080,osbj72@gmail.com,,
Основна школа „Стевица Јовановић“,o,d,44.875692,20.646591,Панчево,Браће Јовановића 75,http://osstevica.edu.rs/,+381 13 319 166,osstevica@mts.rs,,
Основна школа „Свети Сава“,o,d,44.876567,20.669631,Панчево,Војвођанска бб,http://www.svetisavapancevo.edu.rs/,+381 13 318 859,svsavapancevo@sbb.rs,,
Основна школа „Вук Стефановић Караџић“,o,d,44.805154,20.706058,Старчево,Иве Лоле Рибара 2,http://www.osvkaradzic.edu.rs/,+381 13 631 955,,,
Основна школа „Доситеј Обрадовић“,o,d,44.758483,20.737883,Омољица,Трг Светог Саве 3,https://osobradovic.weebly.com/,+381 13 617 014,osdo.sekretar@gmail.com,,
Основна школа „Моша Пијаде“,o,d,44.740639,20.696705,Иваново,29. новембра 56-58,https://osmosapijadeivanovo.weebly.com/,+381 13 629 106,osivanovo@mts.rs,,
Основна школа „Олга Петров“,o,d,44.728812,20.803015,Банатски Брестовац,,https://olgapetrovbb.wordpress.com/,,,,
Основна школа „Аксентије Максимовић“,o,d,44.904440,20.880096,Долово,,,,,,
Основна школа „Жарко Зрењанин“,o,d,44.992096,20.784463,Банатско Ново Село,Маршала Тита 75,https://www.oszarkozrenjanin.edu.rs/,+381 13 615 003,zarkoz@panet.rs,,
Основна школа „Гоце Делчев“,o,d,44.948656,20.594383,Јабука,Трг Бориса Кидрича 10,https://osjabuka.edu.rs/,+381 13 262 40 59,direktor@osjabuka.edu.rs,,
Основна школа „4. октобар“,o,d,44.985041,20.524652,Глогоњ,,http://www.4oktobar.edu.rs/,+381 13 627 030,skolaglogonj@gmail.com,,
Основна школа „Жарко Зрењанин“,o,d,44.967483,20.699688,Качарево,,http://zzrenjanin.edu.rs/,,,1,
Медицинска школа „Стевица Јовановић“,s,d,44.867685,20.654480,Панчево,Пастерова 2,http://medicinskapancevo.edu.rs/sr/,+381 13 331 390,direktormedicinskapa@gmail.com,,
Електротехничка школа „Никола Тесла“,s,d,44.868538,20.644051,Панчево,Максима Горког 7,http://etsntesla.edu.rs/,+381 13 235 26 15,etsntesla@etsntesla.edu.rs,1,0
Гимназија „Урош Предић“,s,d,44.870572,20.637807,Панчево,Игњата Барајевца 5,http://www.gimnazijaurospredic.edu.rs/,+381 13 301 120,direktor@gimnazijaurospredic.edu.rs,,
Машинска школа Панчево,s,d,44.877432,20.649509,Панчево,Браће Јовановића 103А,https://www.masinska.edu.rs/,+381 13 316 396,office@masinska.edu.rs,,
Економско-трговинска школа „Паја Маргановић“,s,d,44.877816,20.654191,Панчево,Ослобођења 25,http://www.ekosko.edu.rs/,+381 13 314 349,ekoskopa@gmail.com,,
Пољопривредна школа „Јосиф Панчић“,s,d,44.883529,20.660446,Панчево,Новосељански пут 31,https://jpancic.edu.rs/,+381 13 219 00 22,,,
Техничка школа „23. мај“,s,d,44.876570,20.648082,Панчево,Браће Јовановића 89,http://www.skola23maj.edu.rs/,+381 13 318 977,office@skola23maj.edu.rs,,
Музичка школа „Јован Бандур“,sp,d,44.870152,20.641884,Панчево,Војводе Живојина Мишића 3,http://www.muzickaskolapancevo.edu.rs/,+381 13 345 976,jbandur@panet.rs,,
Балетска школа „Димитрије Парлић“,sp,d,44.866988,20.643182,Панчево,Жарка Зрењанина 25,https://dimitrijeparlic.rs/,+381 13 351 649,dimitrijeparlic@mts.rs,,
Школа „Визија“,s,p,44.869862,20.638333,Панчево,Вука Караџића 1,http://www.skolavizija.rs/,+381 13 355 058,,,
Стоматолошки факултет Панчево,f,p,44.852827,20.659596,Панчево,Жарка Зрењанина 179,https://stomatoloskifakultet.rs/,+381 13 235 12 92,info@sfp.rs,,
