naziv,maticnibroj,mesto,sifradelatnosti,datumregistracije,lat,lon,sajt,postojanje,prilagodljivost,pismo,stranijezik
"АСТРОНОМСКО УДРУЖЕЊЕ ""МИЛУТИН МИЛАНКОВИЋ"" ПАНЧЕВО.",08875782,Панчево,9499,12.04.10 03:47,44.882956,20.665061,http://aumm.yolasite.com/,1,0,l,0
Грађанска непослушност Долово,28226942,Долово,9499,30.03.17 09:22,44.890824,20.870776,http://gradjanskaneposlusnost-dolovo.blogspot.com/  ,1,0,o,0
"Кинолошко друштво ""Бансиф"" Панчево",28019645,Панчево,9499,23.07.10 09:50,44.855070,20.668552,http://kinoloskodrustvobansif.weebly.com/,1,0,l,0
"Удружење ""Круг Здравља""",28106670,Панчево,9499,08.03.13 10:30,44.872673,20.660170,http://krugzdravlja.org.rs/,1,1,l,1
"""Лас Хентес""",28072872,Панчево,9499,03.02.12 10:04,44.871946,20.645467,http://lashentes.virtuelnopancevo.rs/,1,1,l,0
"Удружење за општу културу и слободно информисање ""ОМНИБУС""",28113617,Панчево,9499,09.05.13 10:02,44.862391,20.643668,http://omnibusradio.net/ ,1,1,l,1
СИНХРО,28265735,Панчево,9499,10.10.18 02:40,44.869385,20.639869,http://sinhro.org/ ,1,1,l,0
"Удружење Ликовних Уметника ""Светионик""",08886857,Панчево,9412,02.11.10 11:38,44.874060,20.635631,http://ulusvetionik.co.rs/,1,1,l,1
ОПШТИНСКИ ВАТРОГАСНИ САВЕЗ ПАНЧЕВО,08103054,Панчево,9499,17.02.10 10:54,44.859284,20.649463,http://vatrogascipancevo.rs/,1,0,l,0
АБЦСПОРТ,28273185,Панчево,9499,04.02.19 03:11,44.872058,20.641326,http://www.abcsport.rs/,1,1,l,0
Подружница друштва математичара Србије-Панчево,08852863,Панчево,9412,05.05.11 03:33,44.876535,20.647672,http://www.dmspancevo.org.rs/,1,1,c,0
"УДРУЖЕЊЕ ГРАЂАНА МОТО КЛУБ ""СИРИУС""",28270836,Панчево,9499,31.12.18 11:01,44.871288,20.645338,http://www.mksirius.com/,1,0,l,0
Удружење одгајивача голубова српских високолетача Младост 08-Панчево,28033419,Панчево,9499,01.02.11 10:29,44.882902,20.663569,http://www.mladost08.com/,1,1,c,0
"Удружење бродомоделара ""Панон"" Панчево",08639078,Панчево,9499,20.05.11 09:43,44.855642,20.668082,http://www.modelscpanon.org/,1,0,l,1
"Удружење ""На пола пута""",08854912,Панчево,9499,17.05.10 01:34,44.868028,20.645070,http://www.napolaputa.org/,1,1,l,0
Удружење грађана Панонке Панчево,08897964,Панчево,9499,09.11.10 09:11,44.873291,20.646669,http://www.panonke.rs/,1,1,c,0
РОТАРИ КЛУБ ПАНЧЕВО,08796122,Панчево,9499,09.06.11 01:40,44.868722,20.639578,http://www.rotaryklubpancevo.org/,1,1,l,0
"""КЛУБ СТУДЕНТСКЕ УНИЈЕ""",28024118,Панчево,9499,30.09.10 09:17,44.862101,20.647828,http://www.tiketklub.com/,1,1,l,0
"Удружење ""Веште руке""",28202814,Панчево,9499,12.05.16 08:18,44.858794,20.674233,http://www.vesteruke.rs/,1,1,c,0
013 ИНФО,28164882,Панчево,9499,12.02.15 08:09,44.876720,20.642569,https://013info.rs/,1,1,l,0
АСОЦИЈАЦИЈА ЗА МЛАДЕ,28203756,Панчево,9499,25.05.16 01:01,44.859402,20.665788,https://asocijacijazamlade.org/,1,1,l,0
"Удружење за развој културе ""ЕЛЕКТРИКА""",28050674,Панчево,9499,14.06.11 09:45,44.868670,20.640147,https://elektrikablog.wordpress.com/,1,1,l,0
"Културно уметничко друштво ""ЖИСЕЛ""",28018487,Омољица,9499,06.07.10 11:17,44.757516,20.735610,https://kudzisel.weebly.com/,1,1,c,0
УДРУЖЕЊЕ СРПСКИХ ТЕХНИЧКИХ ПРЕГЛЕДА,28270518,Панчево,9499,26.12.18 12:15,44.884262,20.631523,https://udruzenjestep.rs/,1,1,c,0
"""Иницијатива за инклузију ВеликиМали""",08702012,Панчево,9499,11.05.11 08:41,44.873679,20.661475,https://velikimali.org/,1,1,l,0
Културно уметничко друштво ВЕСЕЛИА Глогоњ,28011393,Глогоњ,9499,07.04.10 12:10,44.985159,20.527899,https://veseliaglogonj.webs.com/,1,0,l,0
Удружење грађанки FemPlatz,28239238,Панчево,9499,12.10.17 12:15,44.867349,20.641922,https://www.femplatz.org/,1,1,l,1
Хумана Она,28256639,Панчево,9499,08.05.18 12:16,44.870571,20.646429,https://www.humanaona.org/ ,1,1,l,1
"УДРУЖЕЊЕ ""ПАНСЕЈ""",28268564,Панчево,9499,23.11.18 02:55,44.858764,20.674144,https://www.pansej.org.rs/,1,1,c,0
Покрет горана и Центар волонтера Панчево,08135606,Панчево,9499,24.12.10 09:53,44.873095,20.646828,https://www.pgcvp.rs/,1,1,l,0
"УДРУЖЕЊЕ ГРАЂАНА БУГАРСКЕ НАЦИОНАЛНЕ МАЊИНЕ ,, ШОПСКО ОРО"" - Панчево",28176082,Панчево,9499,15.06.15 11:45,44.869846,20.645479,https://www.sopskooro.com/,1,1,c,0
"Удружење ""Зелена страна""",28237049,Панчево,9499,08.09.17 02:23,44.865100,20.659897,https://zelenastrana.rs/,1,1,l,0
УДРУЖЕЊЕ ГРАЂАНА СРЦЕ ЗА ДЕЦУ ПАНЧЕВА,28297394,Панчево,9499,,44.867320,20.663285,https://srcezadecu.blogspot.com/,1,1,l,0
"ЦЕНТАР ЗА ИНФОРМИСАЊЕ, ОБРАЗОВАЊЕ И ПРЕДУЗЕТНИШТВО ''ОБЛАК""",28256680,Панчево,9499,08.05.18 03:25,,,,1,,,
Студентска унија Панчева,28002653,Панчево,9499,23.12.09 10:42,,,,1,,,
"Словачко културно-просветно друштво ""Ђетван""",08122814,Панчево,9499,24.12.09 10:08,,,,1,,,
"Удружење грађана ""Клуб српско-јерменског пријатељства""",28002815,Панчево,9499,25.12.09 01:59,,,,1,,,
ДОБРОВОЉНО ВАТРОГАСНО ДРУШТВО ДОЛОВО,08123349,Долово,9499,01.02.10 10:52,,,,1,,,
Добровољно ватрогасно друштво ОМОЉИЦА,08123055,Омољица,9499,05.02.10 11:22,,,,1,,,
УДРУЖЕЊЕ ОДГАЈИВАЧА ГОЛУБОВА ПИСМОНОША ПАНЧЕВАЦ,08152551,Панчево,9499,09.02.10 02:57,,,,1,,,
ДОБРОВОЉНО ВАТРОГАСНО ДРУШТВО КАЧАРЕВО,08098719,Качарево,9499,22.02.10 01:48,,,,1,,,
Добровољно ватрогасно друштво ЈАБУКА,08125244,Јабука,9499,15.03.10 02:03,,,,1,,,
ДОБРОВОЉНО ВАТРОГАСНО ДРУШТВО СТАРЧЕВО,08128626,Старчево,9499,01.04.10 02:25,,,,1,,,
"Удружење жена ""Доловке""",28011253,Долово,9499,06.04.10 08:47,,,,1,,,
"ДРУШТВО СРПСКО-РУСКОГ ПРИЈАТЕЉСТВА ""ДОСИТЕЈ ОБРАДОВИЋ""",28011385,Панчево,9499,07.04.10 01:16,,,,1,,,
"""Покрет ветерана Војводине""",28011652,Панчево,9499,12.04.10 11:01,,,,1,,,
Добровољно ватрогасно друштво Глогоњ,08135584,Глогоњ,9499,29.04.10 08:52,,,,1,,,
"Удружење пољопривредних произвођача ""КАЧАРЕВАЦ""",28019947,Качарево,9499,27.07.10 10:39,,,,1,,,
РОТАРАКТ КЛУБ ПАНЧЕВО,08906459,Панчево,9499,04.08.10 01:02,,,,1,,,
Удружење дистрофичара Јужнобанатског округа,08162077,Панчево,9499,06.10.10 12:46,,,,1,,,
"""Удружење Крајишника""",28024754,Панчево,9499,11.10.10 10:14,,,,1,,,
"МАЂАРСКО КУЛТУРНО-УМЕТНИЧКО ДРУШТВО ""ПЕТЕФИ ШАНДОР"" ПАНЧЕВО",08088268,Панчево,9499,22.10.10 03:16,,,,1,,,
"Удружење грађана македонске националне заједнице у Јабуци ""Илинден-Јабука""",08893284,Јабука,9499,25.10.10 09:33,,,,1,,,
"САВЕЗ ИНВАЛИДА РАДА ВОЈВОДИНЕ, ОПШТИНСКА ОРГАНИЗАЦИЈА ИНВАЛИДА РАДА ПАНЧЕВО",08077584,Панчево,9499,03.11.10 09:50,,,,1,,,
УДРУЖЕЊЕ ПЕНЗИОНЕРА ГРАДА ПАНЧЕВА,08854955,Панчево,9499,19.11.10 02:01,,,,1,,,
"""КЛУБ САМОХРАНИХ МАЈКИ ПАНЧЕВА""",28028920,Панчево,9499,13.12.10 10:37,,,,1,,,
"Удружење ""Банатски Дунђер Панчево""",28032595,Панчево,9412,24.01.11 10:20,,,,1,,,
"Удружење ""ЦЕПТА""",28038631,Панчево,9499,11.03.11 10:31,,,,1,,,
"Удружење жена ""ГЛОГОЊКЕ"" Глогоњ",28039867,Глогоњ,9499,18.03.11 10:23,,,,1,,,
Црвени крст Србије-Црвени крст Војводине-Црвени крст Панчево,08006709,Панчево,8899,10.05.11 01:32,,,,1,,,
ЖЕНСКА МИРОВНА ГРУПА- ПАНЧЕВО,08722307,Панчево,9499,12.05.11 03:23,,,,1,,,
"""ПРИЈАТЕЉИ ПАНЧЕВА""",08839573,Долово,9499,24.05.11 12:19,,,,1,,,
"Радио-клуб ""Михајло Пупин"" Панчево",08087857,Панчево,9499,31.05.11 09:13,,,,1,,,
"Креативни омладински центар Панчева за борбу против сиде - ""КОМПАС""",08729913,Панчево,9499,31.05.11 12:21,,,,1,,,
"""Удружење хранитеља ""ДУГА"" из Панчева",08864969,Панчево,9499,09.06.11 01:37,,,,1,,,
"""Савет ПАнчевачких Сениора""",08884021,Панчево,9499,09.06.11 10:57,,,,1,,,
"МАЂАРСКО КУЛТУРНО-УМЕТНИЧКО ДРУШТВО ""ТАМАШИ АРОН"" ВОЈЛОВИЦА-ПАНЧЕВО",08077606,Панчево,9499,30.08.11 10:12,,,,1,,,
"""Tibiscus""",28060912,Панчево,9499,21.09.11 10:09,,,,1,,,
"Центар за културу и екологију ""ПанАрт""",28073984,Панчево,9499,14.02.12 01:43,,,,1,,,
ФИЛМСКИ КЛУБ ЖИСЕЛ,28089201,Омољица,9499,06.08.12 09:52,,,,1,,,
"""КУЛТУРНО УМЕТНИЧКО ДРУШТВО СМ ЧИГРА ИЗ ПАНЧЕВА""",28091435,Панчево,9499,18.09.12 10:37,,,,1,,,
"Удружење ""Макетарски клуб др Владимир Алексић""",28105070,Панчево,9499,26.02.13 11:12,,,,1,,,
"АКТИВ ЖЕНА ""СОСА"" БАНАТСКИ БРЕСТОВАЦ",28114842,Банатски Брестовац,9499,21.05.13 12:53,,,,1,,,
ПРЕПОЗНАЈ У СЕБИ,28117779,Панчево,9499,21.06.13 09:37,,,,1,,,
"""Посети Панчево""",28141343,Панчево,9499,02.04.14 11:02,,,,1,,,
Удружење грађана Сунцокрет,28148283,Омољица,9499,26.06.14 08:06,,,,1,,,
"""Удружење локал патриота Панчева""",28154518,Панчево,9499,01.10.14 08:20,,,,1,,,
"Удружење жена ""Новосељанке"" (""Boboacele"")",28162928,Банатско Ново Село,9499,20.01.15 07:55,,,,1,,,
"Удружење ""Пагус""",28168055,Старчево,9499,11.03.15 08:44,,,,1,,,
",,Наше НОВО село""",28168268,Банатско Ново Село,9499,13.03.15 09:07,,,,1,,,
